year,FIPS_state,cpi_1990,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj
2006,36,154.4335307984,1385538841.31506,122931945.013358,675302690.021787,830603.768248125,275926881.570125,151893264.911007,127039806.301111,50618390.5564107,15034290.5535615,156531.971878359
2006,37,154.4335307984,205490338.215961,20771523.8876259,125082669.236568,392222.487083656,83608280.7648876,22272105.6904338,10376533.0119535,476875.942822434,4669759.41366578,156738.239067382
2006,38,154.4335307984,13898121.067123,1345445.37074252,10331072.8399228,1192599.57451391,4799554.41119528,2690941.51400393,1439828.67100297,304522.172035375,1376906.1154545,1010892.6606258
2006,39,154.4335307984,239872565.711128,22614189.0770924,162603955.572741,514949.895167467,101083230.86968,30501491.8226747,18352375.6581274,2205573.32519378,6590961.22465641,355406.53529002
2006,40,154.4335307984,53168777.5591424,4570895.80716858,31710404.0141766,1158783.04209334,20046114.0609436,7024535.11590444,2812818.82089118,137818.673848145,2706074.4366784,817581.730465128
2006,41,154.4335307984,54049849.7954497,5207360.12442676,38021345.6621869,399519.433850369,27707901.3753946,5280157.88504116,2709219.0594541,596978.882535265,1480700.27752564,192465.340642851
2006,42,154.4335307984,244431128.01532,23044155.0203169,146003684.042572,226557.549617194,99931761.0753553,26553730.3305865,13133705.7958494,705517.448453105,7470638.395523,153364.607318847
2006,44,154.4335307984,31624896.0225292,2376958.73622763,14284673.3131488,8269.94556125994,8937976.2372879,1770187.02894818,3108080.18497267,298531.587430897,409661.879195124,388.732933449611
2006,45,154.4335307984,56277045.0912067,5347115.35778054,36386918.4062369,83322.2865746959,26209265.8501572,5843278.19364722,2876043.59180126,57804.6895502257,2189174.54308142,56297.8014702037
2006,46,154.4335307984,101636720.969298,16547383.7670814,67602164.7533812,1739261.31366744,27092778.788474,10390376.3400755,24957858.8722276,20412647.7772492,4288530.06489506,1060555.84127691
2006,47,154.4335307984,97518883.6334858,9434039.62346387,66001447.4639464,264398.368021375,47693463.0649987,10989784.3514977,4598029.00358597,234462.470574578,4247825.49729562,193248.538333617
2006,48,154.4335307984,444172541.784909,39479921.2827664,256520300.666665,2472778.8134199,178235936.610348,38282522.2475526,25525226.0681395,7215578.04599801,11183740.8245034,1455939.69281124
2006,49,154.4335307984,160253052.550333,29765002.8278921,110927045.321994,232180.266534882,30665506.3303246,33148909.8637672,40480731.4010105,21735090.4295476,11669970.513405,115668.480626912
2006,50,154.4335307984,8548513.72451564,1047346.49638772,5842024.94065479,18534.1405868936,4212968.29469659,843040.44687374,558496.915499093,18008.3204282086,332086.070737619,11982.6503918743
2006,51,154.4335307984,176832007.385597,17642370.4617245,108974320.901606,163876.711919741,67345793.2848009,13777111.7143166,24641020.4651733,11634104.3194926,5010917.36099429,127593.844570495
2006,53,154.4335307984,104030723.654969,9627973.85091811,70525084.2757069,709118.1708945,49830592.4243659,10853000.5897873,5133118.86493795,941645.259608245,2775621.32362596,312199.923214041
2006,54,154.4335307984,23652695.5552061,2186066.22447512,15427777.0498966,24670.9194044258,11209255.7629604,2034120.33723013,1586557.01744659,134925.037454481,917129.767512772,17576.9714837599
2006,55,154.4335307984,101592893.26863,9828962.03363487,71934103.3576483,863744.067148189,50577511.0781121,12707532.0025135,5375298.10542543,1669356.34913249,4589275.33910007,638497.753693315
2006,56,154.4335307984,7874900.99256583,759336.141688371,5131203.22166035,264086.190003172,3269924.29476186,871193.675769876,614701.686699796,49922.538214196,538410.656186749,200731.6394487
2006,92410,29202719.7924,0,0.189232817052488,0.409450046566093,0.100910528795397,0,0.100720104815577,0,0,0,0.0775309208049591
2007,01,158.5920586446,66493782.7896335,7768835.20671791,45254527.7952484,229924.460636108,32939416.5027002,7328447.33450092,3424090.64752665,147937.676902555,3193198.80752966,179707.920356291
2007,02,158.5920586446,6592133.38535889,746972.780660008,4207604.04664941,46230.0674422392,2650528.68171362,896394.23658811,410530.08388077,62785.2518745708,325406.060977581,12335.3477860071
2007,04,158.5920586446,98035855.1385239,9193557.65492461,55148506.6153157,280173.766829501,35864727.5138511,9799395.04382716,5406706.38480886,1237106.03401974,1825978.69130161,83244.2095846623
2007,05,158.5920586446,39053485.0910523,4152741.9593481,26044634.2584902,698600.249066198,19218018.7982365,3614795.26266974,2095555.5013828,233004.752394004,1947714.55372745,504234.113467554
2007,06,158.5920586446,888021411.851826,87989283.3539443,576020508.806383,3384447.78803095,398747053.050081,94597809.8319027,50168045.2721691,9823945.8456719,16249039.7269131,649249.538758822
2007,08,158.5920586446,76739642.378217,7980997.24441216,48392217.6033472,1034587.42933534,33456473.29125,7180646.53068259,4638462.07374386,1005381.98118276,2494818.19106943,419632.573302925
2007,09,158.5920586446,86779710.3459908,10456338.4519341,52321200.9507987,48239.3647087289,36632992.1422641,9831662.47665234,3452477.26909982,396211.563736008,2711952.84545093,10100.0892951947
2007,10,158.5920586446,270490597.041972,53555852.935472,171121725.095136,55042.7890893293,48701247.3668851,16007898.5773443,107846769.130637,90363362.1490526,9039597.14516891,7434.69421138251
2007,11,158.5920586446,32374403.0958897,2905402.2774428,19448177.286522,19581.2651273895,11375861.1534194,4149110.93012432,2303491.48637016,445931.849544583,539874.305863499,3673.51309699275
2007,12,158.5920586446,399765727.034385,40636135.6306832,262126998.769487,396820.348082259,189449675.333459,39799493.5819731,19020010.6790916,1975590.94486996,7808863.56131233,152118.363617489
2007,13,158.5920586446,168036103.718238,18473328.7152586,114057073.975442,357579.870831547,81591872.9806354,17526639.079597,9547022.6880303,1658473.20861765,5564741.91576013,227704.841026844
2007,15,158.5920586446,24411885.8742879,2969118.28131196,14074875.057872,2793.51376508475,10210703.3054059,2107718.05771939,1248457.87399924,185653.829372785,661922.5988966,2955.33953192003
2007,16,158.5920586446,27712016.0600085,10557665.6424997,15153357.3332178,354835.953812928,7750766.33139214,4829207.96096245,1638681.25059799,730351.748823177,791936.942909784,165151.5236142
2007,17,158.5920586446,387483608.501493,36085084.2344357,220228845.624853,2075125.4477348,135583295.751935,48418069.3225183,20344346.8951006,3586573.81068239,9806682.15779413,1516689.59544431
2007,18,158.5920586446,87871036.8121555,8510038.73471131,56450305.7799504,701629.857208331,36149185.3686933,11465654.0769803,5343735.40117343,667181.236555398,3756841.22048558,477020.027919738
2007,19,158.5920586446,48933974.4665554,4754215.11684337,34127682.2452142,3336273.28257574,21138544.7840112,6262108.36610294,2512054.58034054,359467.598353643,3288464.06392712,2737374.93411119
2007,20,158.5920586446,48312400.4244279,4911530.61308089,31571994.2703714,1903769.22362243,21405762.1712982,5285118.6280319,2209317.28217537,287987.076995194,2332078.23309576,1333025.65427685
2007,21,158.5920586446,58449619.9489933,5793698.13721117,38858506.3883923,345750.673374269,27361239.2171011,6250822.8358023,3633672.47465082,445104.439959013,2276503.77949674,280674.983364866
2007,22,158.5920586446,75167503.3916427,8474768.67007629,39564523.9205495,331158.948149919,24547198.4213415,7564625.34704748,5077511.91831413,603107.561344632,2729671.84625802,232482.349182746
2007,23,158.5920586446,18761004.4344228,2167461.65312115,13310506.1143685,91625.4505976837,9644699.4830253,1903626.62714274,1146259.93484688,41512.882157695,796133.569241086,64571.6952046228
2007,24,158.5920586446,96647209.6626863,9490978.06882805,63174124.3688654,76664.7993446648,44856670.2884605,10349877.284673,5002812.03358668,208109.876744194,2803094.91807625,35000.8655581546
2007,25,158.5920586446,228002270.948318,21749303.0944728,102112181.782422,101319.386575141,66596671.7137931,14526271.5537611,9353899.40764478,748357.591044342,3639494.84977275,24277.0839321301
2007,26,158.5920586446,161636784.674911,17313423.5810601,105485064.997816,331456.289194452,70032862.0832833,24028846.9595277,7211007.92983271,971444.716861041,5085629.50381436,197735.7516342
2007,27,158.5920586446,108442044.80461,9830352.99893196,80402407.2270003,2030466.46284929,55373987.5195535,12714396.1928201,6754456.97255916,1365041.3421371,5359410.22585743,1518347.14496687
2007,28,158.5920586446,33715148.6571041,3627314.12571053,22437865.7010152,385215.316097787,16399590.1751265,3184380.38822905,1991214.35943477,58970.7442039731,1858464.33395252,238677.468252363
2007,29,158.5920586446,93146558.2885441,9267017.13216295,63771858.283599,1044481.21259401,43462289.639635,11395707.8392768,5505226.32931844,979463.547615375,3931282.54379027,863673.067451475
2007,30,158.5920586446,12564822.5966649,1286114.32780248,8833058.25989754,532239.945215345,5803810.63189985,1505320.77827943,859025.327827105,117265.551969407,913330.34089133,412925.705555018
2007,31,158.5920586446,30757479.9442948,3070346.41039082,21384623.3538121,2784013.06522581,11714195.8973251,3854255.104101,2616037.88051554,942125.226807646,1835551.29210821,1887431.08669347
2007,32,158.5920586446,381098709.223866,33084908.4459385,226426574.077506,292809.519603184,126567496.325157,39946739.4322121,39387343.5622166,15879340.337886,2773216.77114059,48785.9853761655
2007,33,158.5920586446,20913844.1063218,2462637.14678583,13096155.6723447,19658.5360485037,9098008.69987036,2307534.06012014,1344040.25412156,47257.1440343516,655115.973490095,5948.14002277178
2007,34,158.5920586446,234174791.48446,24463707.6060151,133200851.346829,98861.2957687097,98679247.2871678,19496777.2982846,8712798.54969837,707428.128160191,3897838.76522064,21514.719462985
2007,35,158.5920586446,20727885.3883547,1959711.79393155,12869215.9817361,216681.559901559,9073273.20869963,2037418.91211833,1118755.55122107,111463.560101264,828217.066207651,99320.2618083359
2007,36,158.5920586446,1104828068.88062,102389519.440238,515223678.796479,544939.302987613,271964580.25801,107129533.781717,71830246.5474073,26004723.3567479,13688840.9645652,134392.824201068
2007,37,158.5920586446,209024090.090159,21515691.9123909,129974725.927211,350670.83933421,86830420.9017175,24228990.0663351,11107489.0030044,601182.452980507,5307529.75913868,147752.751795551
2007,38,158.5920586446,14655028.1187367,1460322.52673434,11102362.1142441,1233572.14212037,5139141.72832059,2944549.61353156,1544017.04478677,383722.404224151,1545850.55522855,1030776.68210053
2007,39,158.5920586446,222360792.405068,21092823.2548179,151998219.212348,553993.166848266,95990574.3943875,28603590.6033544,16518168.0208976,2364670.4072543,6425345.62581082,369631.461747792
2007,40,158.5920586446,55305569.3601838,4811356.70767637,32993477.1698131,1194998.57943508,20677224.8240526,7761515.76813847,2725099.2328231,155025.378077468,2776850.29197015,802413.615588461
2007,41,158.5920586446,58276247.6130935,5572850.82770603,42793672.5255784,402676.091553875,31599606.9061483,5725846.06597231,3137386.36383215,753734.95749987,1696684.2358999,184657.477342532
2007,42,158.5920586446,253534100.111933,25165473.2410035,153662499.865884,245634.822157115,101993283.953825,29840914.7166859,14499482.9906051,737974.758644007,7561314.70868229,165561.609969016
2007,44,158.5920586446,36218624.0774603,2892139.77896731,24774971.7237444,9218.23976453417,18703406.3729721,2201702.20111846,3342194.19135894,439227.023181889,446120.717998432,1363.22074272503
2007,45,158.5920586446,59444399.3778831,5987055.47161686,39461700.7637895,81912.1229672914,28561485.5671382,6356026.47736395,3070486.63658467,132747.411395218,2294869.40674209,56955.663424267
2007,46,158.5920586446,79236318.0537428,11290739.5857269,55386953.7034707,1380139.27758724,11397884.5118947,9549651.89959567,22469174.8944008,20228527.7278954,4672429.87834276,951170.211243964
2007,47,158.5920586446,99772491.2414682,10839517.6110668,68227106.7227096,279228.352608071,49633262.0780041,11602674.5267163,4535146.56878694,251567.650422979,4568333.70792358,209836.262182127
2007,48,158.5920586446,501898610.663091,47254210.8104766,287815798.043681,2695887.01705509,194349999.571444,46239893.2648244,30936294.0082454,8421884.33070446,12209024.2366469,1497154.04893155
2007,49,158.5920586446,198083117.068515,32515008.2892678,118880955.499195,242179.584349041,31138613.2214396,37308356.7882615,45693748.0743218,25686537.7916268,14551973.0785237,111661.203669541
2007,50,158.5920586446,8403554.96043001,1022907.21612584,5816700.76515186,17547.8097295117,4182085.03869804,852721.536935522,544704.164583065,19302.8687624712,339316.816770879,10061.1476310651
