SBA.Physical.Declaration.Number,SBA.EIDL.Declaration.Number,FEMA.Disaster.Number,SBA.Disaster.Number,Damaged.Property.City.Name,Damaged.Property.Zip.Code,Damaged.Property.County.Parish.Name,Damaged.Property.State.Code,Total.Verified.Loss,Verified.Loss.Real.Estate,Verified.Loss.Content,Total.Approved.Loan.Amount,Approved.Amount.Real.Estate,Approved.Amount.Content,Approved.Amount.EIDL,Year
3393,9O46,1403DR,MO-L0148,BUTLER,64730,BATES,MO,500,500,0,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,CARROLTON,64633,JACKSON,MO,475,475,0,500,500,0,0,2002
3393,9O46,1403DR,MO-L0148,CLEVELAND,64734,CASS,MO,4597,4597,0,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,EXCELSIOR SPRIN,64024,CLAY,MO,200,0,200,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,GRANDVIEW,64030,JACKSON,MO,21434,7534,13900,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,HARRISONVILLE,64701,CASS,MO,1200,1200,0,1300,1100,200,200,2002
3393,9O46,1403DR,MO-L0148,INDEP,64052,JACKSON,MO,11596,11596,0,14100,11600,2500,2500,2002
3393,9O46,1403DR,MO-L0148,INDEPENDENCE,64050,JACKSON,MO,2374,2374,0,2400,2400,0,0,2002
3393,9O46,1403DR,MO-L0148,INDEPENDENCE,64052,JACKSON,MO,28260,2210,26050,5100,5100,0,0,2002
3393,9O46,1403DR,MO-L0148,INDEPENDENCE,64053,JACKSON,MO,300,300,0,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,INDEPENDENCE,64055,JACKSON,MO,39575,0,39575,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,INDEPENDENCE,64056,JACKSON,MO,24325,24325,0,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,INDEPENDENCE,64136,JACKSON,MO,900,900,0,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,34134,JACKSON,MO,3684,1536,2148,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,63134,JACKSON,MO,2150,650,1500,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64109,JACKSON,MO,26486,24986,1500,90700,86700,4000,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64110,JACKSON,MO,14953,12453,2500,800,800,0,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64111,JACKSON,MO,9835,910,8925,3800,1000,2800,2800,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64120,JACKSON,MO,37170,37170,0,52100,37200,14900,14900,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64124,JACKSON,MO,19133,16245,2888,14800,14500,300,300,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64126,JACKSON,MO,37660,37660,0,37700,37700,0,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64127,JACKSON,MO,19732,18207,1525,15800,11400,4400,4400,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64128,JACKSON,MO,17608,14539,3069,4100,4100,0,0,2002
3393,9O46,1403DR,MO-L0148,KANSAS CITY,64129,JACKSON,MO,81171,81171,0,70900,70900,0,0,2002
